sim_index,adaptive-optimal,adaptive-random,no-support,passenger-support,staff-support
0,357.0,357.0,268.0,357.0,357.0
1,367.0,367.0,1019.0,315.0,367.0
10,321.0,349.0,555.0,326.0,321.0
11,374.0,374.0,524.0,374.0,374.0
12,255.0,444.0,552.0,331.0,255.0
13,361.0,361.0,536.0,517.0,361.0
14,333.0,333.0,533.0,384.0,333.0
15,307.0,350.0,515.0,529.0,307.0
16,273.0,273.0,534.0,273.0,273.0
17,290.0,378.0,545.0,298.0,290.0
18,317.0,317.0,522.0,317.0,317.0
19,264.0,324.0,281.0,324.0,264.0
2,510.0,510.0,1035.0,272.0,510.0
20,264.0,262.0,435.0,416.0,264.0
21,272.0,321.0,529.0,471.0,272.0
22,299.0,273.0,263.0,273.0,299.0
23,334.0,277.0,521.0,367.0,334.0
24,315.0,318.0,512.0,315.0,315.0
25,264.0,414.0,510.0,380.0,264.0
26,421.0,252.0,1026.0,519.0,421.0
27,317.0,317.0,560.0,317.0,317.0
28,440.0,315.0,571.0,373.0,440.0
29,379.0,377.0,513.0,320.0,379.0
3,324.0,324.0,512.0,342.0,324.0
30,435.0,375.0,555.0,524.0,435.0
31,271.0,381.0,533.0,373.0,271.0
32,308.0,308.0,508.0,263.0,308.0
33,252.0,317.0,571.0,317.0,252.0
34,319.0,319.0,527.0,317.0,319.0
35,263.0,664.0,513.0,317.0,263.0
36,500.0,257.0,446.0,293.0,500.0
37,320.0,320.0,268.0,439.0,320.0
38,324.0,376.0,523.0,308.0,324.0
39,540.0,540.0,506.0,540.0,540.0
4,263.0,386.0,570.0,277.0,263.0
40,327.0,327.0,536.0,566.0,327.0
41,314.0,314.0,418.0,314.0,314.0
42,253.0,253.0,550.0,519.0,253.0
43,573.0,573.0,324.0,573.0,573.0
44,326.0,326.0,538.0,322.0,326.0
45,409.0,409.0,569.0,343.0,409.0
46,316.0,316.0,564.0,536.0,316.0
47,433.0,433.0,528.0,433.0,433.0
48,558.0,272.0,539.0,323.0,558.0
49,655.0,261.0,552.0,261.0,655.0
5,380.0,394.0,541.0,394.0,380.0
6,284.0,384.0,378.0,568.0,284.0
7,318.0,318.0,254.0,318.0,318.0
8,373.0,370.0,310.0,763.0,373.0
9,368.0,255.0,372.0,321.0,368.0
