sim_index,AlwaysAskHelpStrategy,AlwaysCallStaffStrategy,HelpMatrixStrategy,RandomStrategy
0,465.9166666666667,415.6666666666667,414.4166666666667,394.8333333333333
1,295.8333333333333,314.25,314.25,317.6666666666667
10,352.5833333333333,346.5833333333333,338.5833333333333,349.1666666666667
11,342.3333333333333,347.8333333333333,347.75,345.0
12,353.25,329.3333333333333,333.3333333333333,351.25
13,381.75,369.6666666666667,357.25,384.9166666666667
14,329.09090909090907,365.45454545454544,425.8333333333333,407.6666666666667
15,391.5,384.8333333333333,390.75,398.5
16,331.5,350.8333333333333,351.0833333333333,348.9166666666667
17,387.6666666666667,398.8333333333333,398.8333333333333,402.8333333333333
18,376.1666666666667,379.8333333333333,377.75,352.9166666666667
19,325.5833333333333,390.8333333333333,390.8333333333333,374.8333333333333
2,386.6666666666667,419.0833333333333,423.5,410.0
20,352.6666666666667,336.75,336.75,365.0
21,383.1666666666667,366.25,366.25,374.4166666666667
22,394.6666666666667,384.3333333333333,384.3333333333333,408.0
23,314.3636363636364,432.4166666666667,432.4166666666667,402.9166666666667
24,368.8333333333333,334.75,334.75,355.25
25,372.4166666666667,355.1666666666667,355.1666666666667,386.0833333333333
26,329.1666666666667,342.8333333333333,342.8333333333333,353.9166666666667
27,306.25,358.6666666666667,358.6666666666667,329.3333333333333
28,360.8333333333333,368.6666666666667,368.6666666666667,341.1666666666667
29,389.75,368.3636363636364,432.25,412.9166666666667
3,344.1666666666667,397.5833333333333,397.5833333333333,392.5833333333333
4,390.9166666666667,381.5833333333333,381.5833333333333,360.0
5,376.0833333333333,375.8333333333333,365.9166666666667,361.4166666666667
6,438.1666666666667,374.8333333333333,374.8333333333333,375.0
7,338.8333333333333,408.4166666666667,408.4166666666667,385.5
8,402.8333333333333,375.5,386.0833333333333,372.4166666666667
9,420.75,385.3333333333333,382.9166666666667,355.5833333333333
