sim_index,OptimalStrategy
0,356.4166666666667
1,297.9166666666667
10,369.8333333333333
11,364.9166666666667
12,386.0
13,404.3333333333333
14,409.5833333333333
15,327.4166666666667
16,351.5833333333333
17,432.1666666666667
18,357.3333333333333
19,312.0
2,319.0833333333333
20,370.9166666666667
21,384.9166666666667
22,303.25
23,390.0833333333333
24,327.6666666666667
25,396.75
26,447.0
27,464.4166666666667
28,343.0833333333333
29,384.25
3,398.5833333333333
4,366.3333333333333
5,310.6666666666667
6,300.0833333333333
7,477.0833333333333
8,411.5
9,407.5
