sim_index,adaptive-optimal@num-of-staff=10$fall-chance=0.05$robot-persuasion-factor=0,adaptive-optimal@num-of-staff=10$fall-chance=0.05$robot-persuasion-factor=1,adaptive-optimal@num-of-staff=10$fall-chance=0.05$robot-persuasion-factor=2,adaptive-optimal@num-of-staff=10$fall-chance=1$robot-persuasion-factor=0,adaptive-optimal@num-of-staff=10$fall-chance=1$robot-persuasion-factor=1,adaptive-optimal@num-of-staff=10$fall-chance=1$robot-persuasion-factor=2,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=0,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=1,adaptive-optimal@num-of-staff=2$fall-chance=0.05$robot-persuasion-factor=2,adaptive-optimal@num-of-staff=2$fall-chance=1$robot-persuasion-factor=0,adaptive-optimal@num-of-staff=2$fall-chance=1$robot-persuasion-factor=1,adaptive-optimal@num-of-staff=2$fall-chance=1$robot-persuasion-factor=2
0,311.0,311.0,311.0,448.0,261.0,546.0,250.0,250.0,250.0,580.0,318.0,441.0
1,220.0,220.0,220.0,276.0,276.0,276.0,260.0,293.0,293.0,660.0,319.0,262.0
10,384.0,384.0,384.0,272.0,329.0,320.0,312.0,312.0,312.0,529.0,526.0,374.0
11,435.0,435.0,435.0,443.0,333.0,278.0,316.0,316.0,316.0,394.0,268.0,410.0
12,320.0,320.0,320.0,265.0,572.0,380.0,373.0,373.0,373.0,317.0,317.0,702.0
13,355.0,355.0,355.0,499.0,374.0,757.0,376.0,376.0,376.0,411.0,309.0,309.0
14,316.0,316.0,316.0,537.0,537.0,537.0,288.0,288.0,288.0,382.0,555.0,555.0
15,284.0,284.0,284.0,319.0,319.0,265.0,434.0,434.0,434.0,300.0,312.0,260.0
16,263.0,263.0,263.0,378.0,378.0,349.0,267.0,267.0,267.0,409.0,561.0,554.0
17,354.0,354.0,354.0,319.0,269.0,419.0,510.0,510.0,510.0,370.0,679.0,538.0
18,268.0,268.0,268.0,262.0,349.0,297.0,263.0,263.0,263.0,560.0,574.0,653.0
19,316.0,285.0,285.0,271.0,400.0,263.0,266.0,309.0,309.0,250.0,250.0,540.0
2,265.0,265.0,265.0,502.0,339.0,352.0,311.0,311.0,311.0,266.0,316.0,326.0
20,405.0,405.0,405.0,334.0,334.0,334.0,374.0,374.0,374.0,267.0,267.0,578.0
21,375.0,279.0,375.0,377.0,738.0,401.0,271.0,271.0,271.0,325.0,494.0,442.0
22,276.0,276.0,276.0,296.0,371.0,328.0,327.0,327.0,327.0,313.0,261.0,261.0
23,335.0,335.0,335.0,321.0,321.0,321.0,317.0,317.0,317.0,525.0,525.0,712.0
24,270.0,270.0,270.0,256.0,274.0,269.0,368.0,368.0,368.0,582.0,319.0,318.0
25,436.0,436.0,436.0,534.0,534.0,534.0,296.0,296.0,296.0,261.0,351.0,351.0
26,355.0,355.0,355.0,417.0,825.0,417.0,334.0,334.0,334.0,765.0,549.0,324.0
27,435.0,435.0,435.0,355.0,541.0,1536.0,308.0,308.0,308.0,368.0,264.0,280.0
28,269.0,269.0,269.0,320.0,320.0,320.0,226.0,226.0,392.0,428.0,539.0,539.0
29,292.0,292.0,292.0,573.0,439.0,675.0,327.0,327.0,332.0,250.0,377.0,435.0
3,304.0,304.0,304.0,563.0,387.0,430.0,276.0,276.0,276.0,537.0,563.0,563.0
4,330.0,330.0,330.0,362.0,604.0,320.0,378.0,354.0,354.0,403.0,267.0,364.0
5,297.0,297.0,297.0,295.0,506.0,386.0,271.0,271.0,271.0,279.0,279.0,279.0
6,257.0,257.0,257.0,245.0,436.0,452.0,254.0,254.0,254.0,375.0,300.0,260.0
7,329.0,329.0,329.0,568.0,535.0,569.0,392.0,392.0,392.0,272.0,549.0,1069.0
8,314.0,355.0,355.0,311.0,311.0,311.0,383.0,383.0,383.0,400.0,1168.0,264.0
9,317.0,317.0,317.0,263.0,437.0,628.0,437.0,437.0,437.0,310.0,313.0,677.0
